date,Score 1,Score 2,Score 3,Score 4,Score 5,Overall,Data
12/19/2018,71.06481481,57.66501335,19.83204134,52.95662578,85.27777778,57.35925461,CO
12/20/2018,64.40972222,61.10828957,17.9748062,47.09448498,77.29166667,53.57579393,CO
12/21/2018,75.11574074,68.72437224,20.9625323,57.43531801,90.13888889,62.47537044,CO
12/22/2018,75.5787037,69.30296983,21.09173127,58.58573741,95.46783626,64.00539569,CO
12/23/2018,72.62731481,62.42953584,20.26808786,56.81111919,91.73976608,60.77516476,CO
12/24/2018,76.15740741,69.80334501,21.25322997,58.41612578,96.19883041,64.36578772,CO
12/25/2018,70.13888889,54.50171831,19.57364341,55.37511277,88.59649123,57.63717092,CO
12/26/2018,75.26041667,67.35098585,21.00290698,57.41412687,95.06578947,63.21884517,CO
12/27/2018,57.32060185,55.65826524,15.99644703,46.79335528,72.40497076,49.63472803,CO
12/28/2018,44.47337963,37.66492272,12.41117571,38.70636223,59.29783951,38.51073596,CO
12/29/2018,73.6400463,69.77605033,20.55071059,58.66825764,98.1867284,64.16435865,CO
12/30/2018,71.61458333,64.75753991,19.98546512,58.87312356,95.48611111,62.14336461,CO
12/31/2018,68.46064815,63.07171243,19.10529716,57.44734809,91.2808642,59.873174,CO
12/1/2018,70.42824074,64.21570588,19.65439276,58.29989243,93.90432099,61.30051056,H2S
12/2/2018,67.79513889,71.29991567,18.91957364,56.4441425,90.39351852,60.97045784,H2S
12/3/2018,70.45717593,70.81552498,19.6624677,56.80498276,93.94290123,62.33661052,H2S
12/4/2018,64.67013889,65.5152117,18.04748062,57.61193309,91.29901961,59.42875678,H2S
12/5/2018,69.3287037,66.33172623,19.34754522,58.58340978,97.87581699,62.29344039,H2S
12/6/2018,64.72800926,69.72873582,18.06363049,57.70625138,86.30401235,59.30612786,H2S
12/7/2018,73.95833333,71.24843214,20.63953488,59.33086462,98.61111111,64.75765522,H2S
12/8/2018,73.52430556,69.83830004,20.51841085,59.45973614,98.03240741,64.274632,H2S
12/9/2018,68.34490741,64.71913699,19.07299742,57.83595495,96.4869281,61.29198497,H2S
12/10/2018,63.02083333,68.54889425,17.5872093,56.39436242,88.97058824,58.90437751,H2S
12/11/2018,67.53472222,68.67416575,18.84689922,57.24314594,95.34313725,61.52841408,H2S
12/12/2018,68.37384259,64.76537615,19.08107235,57.99060078,96.52777778,61.34773393,H2S
12/13/2018,70.19675926,69.52826706,19.58979328,57.99060078,93.59567901,62.18021988,H2S
12/14/2018,70.19675926,71.39071917,19.58979328,56.59878832,93.59567901,62.27434781,H2S
12/15/2018,71.93287037,71.41790727,20.07428941,57.91327786,95.91049383,63.44976775,H2S
12/16/2018,74.10300926,71.5175144,20.67990956,59.53705906,98.80401235,64.92830092,H2S
12/17/2018,76.79398148,72.62652816,21.43087855,59.74325349,97.00292398,65.51951313,H2S
12/18/2018,81.16319444,77.10468489,22.6501938,60.0346313,97.39583333,67.66970755,H2S
12/19/2018,80.70023148,76.34446555,22.52099483,60.01804058,96.84027778,67.28480204,H2S
12/20/2018,80.35300926,75.02328816,22.42409561,60.03686104,96.42361111,66.85217303,H2S
12/21/2018,78.3275463,75.80264379,21.85885013,60.16743306,98.94005848,67.01930635,H2S
12/22/2018,76.38888889,71.91025078,21.31782946,60.00912162,96.49122807,65.22346376,H2S
12/23/2018,76.27314815,71.67910836,21.28552972,59.97888784,96.34502924,65.11234066,H2S
12/24/2018,78.09606481,74.84236034,21.79425065,60.13398698,98.64766082,66.70286472,H2S
12/25/2018,77.5462963,73.89921844,21.64082687,60.07030712,97.95321637,66.22197302,H2S
12/26/2018,77.66203704,73.9668461,21.67312661,60.09037477,98.0994152,66.29835994,H2S
12/27/2018,74.85532407,73.0463083,20.88985788,60.06263535,94.55409357,64.68164383,H2S
12/28/2018,72.16435185,67.33129801,20.13888889,60.0135811,96.2191358,63.17345113,H2S
12/29/2018,74.16087963,71.63597712,20.69605943,60.14165875,98.88117284,65.10314955,H2S
12/30/2018,72.8587963,68.85076575,20.33268734,60.06040561,97.14506173,63.84954334,H2S
12/31/2018,71.93287037,66.56380031,20.07428941,60.0346313,95.91049383,62.90321704,H2S
12/1/2018,68.40277778,64.13725491,19.08914729,59.84635071,96.56862745,61.60883163,NO2
12/2/2018,69.03935185,69.12626585,19.26679587,59.73206103,92.05246914,61.84338875,NO2
12/3/2018,72.97453704,67.71408485,20.36498708,59.82057641,97.29938272,63.63471362,NO2
12/4/2018,65.10416667,65.54033805,18.16860465,59.84632479,91.91176471,60.11423977,NO2
12/5/2018,68.89467593,64.98371025,19.22642119,59.84635071,97.2630719,62.04284599,NO2
12/6/2018,64.61226852,68.86247614,18.03133075,59.8205479,86.14969136,59.49526293,NO2
12/7/2018,72.4537037,68.17675463,20.21963824,59.84635071,96.60493827,63.46027711,NO2
12/8/2018,71.55671296,65.89586308,19.96931525,59.84635071,95.40895062,62.53543852,NO2
12/9/2018,67.85300926,67.53194621,18.93572351,59.82057641,95.79248366,61.98674781,NO2
12/10/2018,63.77314815,62.90645757,17.79715762,59.84632479,90.03267974,58.87115357,NO2
12/11/2018,67.56365741,62.13595522,18.85497416,59.89789932,95.38398693,60.76729461,NO2
12/12/2018,68.66319444,64.37487562,19.16182171,59.97522224,96.93627451,61.8222777,NO2
12/13/2018,70.08101852,68.70761556,19.55749354,59.89789932,93.44135802,62.33707699,NO2
12/14/2018,69.96527778,68.0105435,19.5251938,59.84635071,93.28703704,62.12688056,NO2
12/15/2018,72.80092593,67.98823675,20.31653747,59.82057641,97.06790123,63.59883556,NO2
12/16/2018,71.99074074,70.48446999,20.09043928,59.63606538,90.93567251,62.62747758,NO2
12/17/2018,77.19907407,72.814562,21.54392765,59.84635071,97.51461988,65.78370686,NO2
12/18/2018,78.84837963,71.864074,22.00419897,60.03686104,94.61805556,65.47431384,NO2
12/19/2018,78.44328704,76.29215825,21.89114987,60.01581084,94.13194444,66.15487009,NO2
12/20/2018,78.47222222,75.68903965,21.89922481,60.0346313,94.16666667,66.05235693,NO2
12/21/2018,80.09259259,73.94396669,22.35142119,60.16743306,96.11111111,66.53330493,NO2
12/22/2018,75.83912037,70.280115,21.16440568,60.00912162,95.79678363,64.61790926,NO2
12/23/2018,75.49189815,73.36822712,21.06750646,59.97442836,95.35818713,65.05204944,NO2
12/24/2018,77.37268519,72.92590586,21.59237726,60.13398698,97.73391813,65.95177468,NO2
12/25/2018,75.89699074,69.96273368,21.18055556,60.07030712,95.86988304,64.59609403,NO2
12/26/2018,74.73958333,67.82527725,20.85755814,59.92347513,94.40789474,63.55075772,NO2
12/27/2018,72.97453704,68.57629782,20.36498708,59.95749268,92.17836257,62.81033544,NO2
12/28/2018,69.3287037,67.68094836,19.34754522,60.0135811,92.4382716,61.76181,NO2
12/29/2018,70.5150463,71.34896252,19.67861757,60.14165875,94.02006173,63.14086937,NO2
12/30/2018,69.96527778,68.85076575,19.5251938,60.06040561,93.28703704,62.33773599,NO2
12/31/2018,69.96527778,68.35906546,19.5251938,60.0346313,93.28703704,62.23424107,NO2
12/1/2018,72.30902778,68.06427358,20.17926357,59.84635071,96.41203704,63.36219053,O3
12/2/2018,72.74305556,67.51339873,20.3003876,57.06948479,96.99074074,62.92341348,O3
